"","risk_type","hb_rel_risk","lcr_rel_risk","pfas_rel_risk","dbp_rel_risk","tcr_rel_risk","ars_rel_risk","nitrate_rel_risk","boundary"
"1","race",1.34065483189158,1.06030816091397,1.08136270387825,0.980259085737968,1.04343487990415,1.32022970512937,1.42671413971132,"county"
"2","income",1.2261489940593,0.907830394181555,0.990050437668335,0.907679586364253,1.13094911743614,1.23822157040653,1.13504794766462,"county"
"3","race",1.29025036600755,1.01270164165314,1.22444857824033,0.94968541884083,1.21627776137263,1.29442878528133,1.41373285422345,"zc"
"4","income",1.28697992666073,0.917296475042399,1.01283058275697,0.901507914704774,1.0551025848427,1.24828833987805,1.09390814634805,"zc"
"5","race",1.36558606303193,1.05768837632028,1.15187416421176,0.995421191004406,1.0353824878338,1.13925297407187,1.31581052846342,"usgs"
"6","income",1.45952837875674,0.968620786049261,0.954907996542238,0.931545777388696,1.05294532103309,1.21023680709147,1.11469716405334,"usgs"
"7","race",1.61992197816985,1.11025050897655,1.19773378644037,0.980675501704898,0.967148062275909,1.28941987783161,1.42028894916738,"epic"
"8","income",1.56659317019064,0.927297196238041,1.00594690464955,0.91509337963172,1.0489939263456,1.25606182841138,1.09807634068782,"epic"
"9","race",1.62986690376755,1.10793202135334,1.19430777114812,0.979154082580679,1.03023760006731,1.2961108428605,1.41850436592709,"hm"
"10","income",1.57409895680016,0.926394454406163,1.02084805501039,0.912893325691942,1.09889411756372,1.26076871996249,1.10233248014778,"hm"
