"","risk_type","hb_rel_risk","lcr_rel_risk","pfas_rel_risk","dbp_rel_risk","tcr_rel_risk","ars_rel_risk","nitrate_rel_risk","boundary"
"1","race",0.982333536855888,1.23943170979281,1.76521926745876,1.03123597707258,1.35158168737764,1.35170786080199,1.22367557431284,"county"
"2","income",1.14402333980374,0.913136977528864,1.11265088314026,1.00669377953877,0.996721639133352,1.10936097109932,0.999695971936967,"county"
"3","race",1.02989575616418,1.1952296829452,1.56170084783757,1.00445580735457,1.27485492044413,1.37107710075019,1.27661717207957,"zc"
"4","income",1.17536695077355,1.02852994767391,1.04581656012611,1.01622961099524,1.05903234330564,1.09680336566341,0.985463732162399,"zc"
"5","race",1.06585419476235,1.16204185504411,1.75999601384751,1.08972462937187,1.26405196104593,1.18944026558597,1.13807227653234,"usgs"
"6","income",1.22342734229277,1.01458895591529,1.06614329602165,1.02344492135323,1.07569131342187,1.07895806015198,0.970277901347641,"usgs"
"7","race",1.0796113772515,1.24046558224439,1.59081495987837,1.02386730166455,1.35770930398637,1.28170595480062,1.22735449381305,"epic"
"8","income",1.26347308228149,1.01403190387922,0.976814225856805,1.01901563027064,1.08783580678982,1.04771077120055,0.962202032088506,"epic"
"9","race",1.07869885057408,1.26736022455607,1.59131369104847,1.03147034001541,1.32332464452055,1.32005586705129,1.24073337964288,"hm"
"10","income",1.27300805906048,1.02022655270687,1.05911714996723,1.01867670862744,1.06781195712307,1.07895181717695,0.976293006685861,"hm"
